time,frequency,confidence
8.960,311.138,0.962670
8.970,310.904,0.960178
8.980,310.955,0.961004
8.990,311.058,0.966418
9.000,311.150,0.965396
9.010,311.036,0.963724
9.020,310.885,0.959046
9.030,310.896,0.963878
9.040,311.074,0.963665
9.050,311.102,0.966064
9.060,311.256,0.966045
9.070,311.169,0.964806
9.080,311.157,0.964271
9.090,311.080,0.963481
9.100,311.158,0.960904
9.110,311.191,0.961393
9.120,311.216,0.962879
9.130,311.157,0.955663
9.140,311.309,0.957284
9.150,311.070,0.948632
9.160,311.253,0.953273
9.170,311.137,0.950339
9.180,312.023,0.903381
9.190,315.231,0.764457
9.200,314.448,0.762429
9.210,311.668,0.731077
9.220,312.041,0.860139
9.230,312.664,0.884377
9.240,313.283,0.918648
9.250,313.241,0.936364
9.260,312.361,0.919012
9.270,311.987,0.936863
9.280,311.821,0.947250
9.290,311.855,0.949389
9.300,311.607,0.941666
9.310,311.401,0.938463
9.320,311.399,0.948132
9.330,311.359,0.947646
9.340,311.462,0.950084
9.350,311.810,0.950818
9.360,311.841,0.953128
9.370,311.810,0.952661
9.380,311.645,0.944938
9.390,311.253,0.943016
9.400,310.785,0.871136
9.410,281.261,0.465534
9.420,278.619,0.836344
9.430,277.527,0.892288
9.440,278.062,0.919823
9.450,277.367,0.911770
9.460,277.555,0.914024
9.470,277.188,0.934385
9.480,276.518,0.920842
9.490,276.665,0.930016
9.500,276.533,0.916694
9.510,276.184,0.913309
9.520,276.544,0.937115
9.530,276.377,0.922233
9.540,276.592,0.931238
9.550,276.396,0.911134
9.560,276.334,0.919216
9.570,276.536,0.936960
9.580,276.488,0.938888
9.590,276.681,0.934217
9.600,276.882,0.885061
9.610,277.939,0.825138
9.620,276.180,0.733800
9.630,272.179,0.733241
9.640,269.074,0.850019
9.650,266.521,0.769596
9.660,262.040,0.851618
9.670,262.473,0.837824
9.680,262.652,0.922697
9.690,262.834,0.946297
9.700,262.795,0.941836
9.710,261.899,0.938290
9.720,261.711,0.935739
9.730,261.905,0.956995
9.740,262.107,0.966900
9.750,262.121,0.964473
9.760,261.820,0.956932
9.770,261.687,0.959861
9.780,261.606,0.959285
9.790,261.637,0.961563
9.800,261.933,0.962159
9.810,261.564,0.956535
9.820,261.596,0.956530
9.830,261.345,0.950326
9.840,261.517,0.955295
9.850,261.485,0.953544
9.860,261.653,0.958409
9.870,261.462,0.951876
9.880,261.371,0.949044
9.890,261.414,0.953299
9.900,261.522,0.959584
9.910,261.638,0.959387
9.920,261.493,0.958155
9.930,261.403,0.952095
9.940,261.316,0.953180
9.950,261.439,0.957930
9.960,261.249,0.952570
9.970,261.243,0.949662
9.980,261.130,0.945192
9.990,261.140,0.945205
10.000,261.066,0.945514
10.010,260.989,0.939553
10.020,261.069,0.942498
10.030,260.988,0.940314
10.040,261.118,0.942009
10.050,260.949,0.937615
10.060,261.064,0.939884
10.070,261.027,0.942498
10.080,261.119,0.948060
10.090,261.134,0.946940
10.100,261.134,0.946768
10.110,261.352,0.952403
10.120,261.260,0.950806
10.130,261.449,0.957306
10.140,261.249,0.951435
10.150,261.427,0.954576
10.160,261.272,0.954020
10.170,261.409,0.954238
10.180,261.243,0.951954
10.190,261.208,0.946806
10.200,261.127,0.945367
10.210,261.125,0.949258
10.220,261.173,0.944847
10.230,261.176,0.948847
10.240,261.267,0.948113
10.250,261.171,0.948547
10.260,261.270,0.951696
10.270,261.168,0.950164
10.280,261.190,0.947879
10.290,261.169,0.948765
10.300,261.219,0.950534
10.310,261.155,0.949255
10.320,261.040,0.943805
10.330,261.133,0.946803
10.340,261.239,0.954458
10.350,261.492,0.955126
10.360,261.711,0.960377
10.370,261.883,0.961782
10.380,261.576,0.960518
10.390,261.400,0.957067
10.400,261.187,0.951874
10.410,261.220,0.952410
10.420,261.241,0.953919
10.430,261.180,0.951528
10.440,261.247,0.954938
10.450,261.156,0.950039
10.460,261.334,0.955773
10.470,261.224,0.955624
10.480,261.332,0.952791
10.490,261.266,0.957344
10.500,261.343,0.955661
10.510,261.285,0.956186
10.520,261.319,0.958815
10.530,261.314,0.957922
10.540,261.440,0.961340
10.550,261.459,0.960374
10.560,261.313,0.959293
10.570,261.406,0.960364
10.580,261.377,0.960655
10.590,261.516,0.961106
10.600,261.462,0.963388
10.610,261.445,0.960895
10.620,261.365,0.962693
10.630,261.386,0.959867
10.640,261.429,0.960024
10.650,261.351,0.958348
10.660,261.304,0.953639
10.670,261.317,0.958404
10.680,261.350,0.954915
10.690,261.378,0.961136
10.700,261.446,0.961602
10.710,261.205,0.955550
10.720,261.211,0.956278
10.730,261.228,0.956607
